"filename", "language", "Dart", "comment", "blank", "total"
"/Users/admin/Documents/Projects/c10_project/lib/backend.dart", "Dart", 35, 0, 6, 41
"/Users/admin/Documents/Projects/c10_project/lib/login_page.dart", "Dart", 162, 0, 12, 174
"/Users/admin/Documents/Projects/c10_project/lib/main.dart", "Dart", 266, 0, 12, 278
"Total", "-", 463, 0, 30, 493
