"filename", "language", "Dart", "comment", "blank", "total"
"/Users/admin/Documents/Projects/c10_project/lib/backend.dart", "Dart", 46, 0, 8, 54
"/Users/admin/Documents/Projects/c10_project/lib/login_page.dart", "Dart", 162, 0, 12, 174
"/Users/admin/Documents/Projects/c10_project/lib/main.dart", "Dart", 262, 0, 14, 276
"Total", "-", 470, 0, 34, 504
